Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;11;5;5;4;3;1;0;0;4;5;2;3;0;1;0;0;3;0;1;0;3;0;1;6;5.0
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;12;5;5;4;3;1;1;1;4;5;2;3;0;1;0;0;5;0;1;0;3;0;1;7;5.44
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - N. KUSTURICA;0;0;1;0;0;0;0;0;0;4;3;1;1;0;0;0;0;1;0;0;0;0;0;0;1.0
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA;0;0;1;0;0;0;0;0;0;4;3;1;1;0;0;0;0;1;0;0;0;0;0;0;1.0
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA;13;10;5;3;1;1;4;4;2;8;7;1;2;0;1;0;1;4;3;1;1;1;2;3;8.76
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR;3;2;0;0;2;1;0;0;1;2;1;1;3;1;0;0;0;1;1;0;0;0;0;1;4.0
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - P. CRUZ URBANEJA;3;2;0;0;2;1;0;0;1;2;1;1;3;1;0;0;0;1;1;0;0;0;0;1;4.0
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA;3;2;0;0;2;1;0;0;1;2;1;1;3;1;0;0;0;1;1;0;0;0;0;1;4.0
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA;22;12;7;6;7;3;2;1;2;5;3;2;3;5;1;0;1;4;6;0;0;2;2;10;15.879999999999999
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - N. KUSTURICA;2;1;1;0;1;0;4;2;0;3;2;1;0;1;0;1;1;2;0;0;1;2;0;1;2.76
A. PUIG LLUCH - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA;2;1;1;0;1;0;2;2;0;3;2;1;0;1;0;1;1;2;0;0;1;1;0;1;1.88
E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA;8;1;3;1;4;1;4;3;1;8;5;3;0;2;0;1;2;3;0;0;1;3;1;7;5.76
E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;7;5;3;2;1;1;2;0;2;2;1;1;1;0;0;0;1;1;2;0;1;1;1;2;4.88
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - J. SIFTAR;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;-2;1.0
E. DESTOM ALGER - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;-2;1.0
A. PUIG LLUCH - E. DESTOM ALGER - N. KUSTURICA - P. CRUZ URBANEJA;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.88
E. DESTOM ALGER - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.88
B. MANEL - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;-3;2.0
B. MANEL - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. MARTIN LOPEZ;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;-3;2.0
