Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
B. MANEL - N. KUSTURICA - O. FILBA GONZALEZ;39;41;32;14;15;2;9;5;15;28;20;8;13;8;7;0;10;11;10;6;3;24;14;-2;55.95
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA;78;63;44;22;27;9;14;7;22;33;21;12;12;11;3;1;19;16;16;6;13;29;19;15;77.16
D. FERRERAS CAMARERO - N. KUSTURICA - O. FILBA GONZALEZ;57;50;33;16;23;7;8;4;18;25;18;7;10;9;3;1;14;14;11;6;10;27;17;7;62.52
J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ;155;118;89;50;53;13;27;16;40;91;58;33;30;20;11;1;35;39;33;11;19;51;33;37;150.87
D. FERRERAS CAMARERO - N. KUSTURICA - P. CRUZ URBANEJA;49;18;20;12;15;7;7;4;10;19;11;8;3;5;0;0;9;4;6;1;3;8;5;31;33.08
J. BOUMTJE BOUMTJE - N. KUSTURICA - P. CRUZ URBANEJA;108;66;43;27;32;12;30;18;22;51;31;20;10;6;4;0;15;22;22;5;7;15;12;42;78.19999999999999
D. FERRERAS CAMARERO - O. FILBA GONZALEZ - P. CRUZ URBANEJA;24;13;9;6;8;4;0;0;6;7;5;2;3;1;0;0;5;2;4;1;2;4;2;11;18.0
J. CERDAN PALACIOS - J. MARTIN LOPEZ - O. FILBA GONZALEZ;29;14;14;9;12;3;4;2;8;16;9;7;2;4;2;0;6;5;2;3;1;8;3;15;22.76
D. FERRERAS CAMARERO - J. MARTIN LOPEZ - P. CRUZ URBANEJA;33;37;20;10;14;3;6;4;9;18;9;9;8;5;0;1;6;8;11;4;3;11;2;-4;35.64
B. MANEL - J. SIFTAR - O. FILBA GONZALEZ;29;9;16;11;7;0;10;7;6;20;16;4;8;8;2;1;2;11;3;1;0;9;8;20;31.389999999999997
D. FERRERAS CAMARERO - J. SIFTAR - O. FILBA GONZALEZ;46;42;29;19;13;1;10;5;12;29;21;8;15;8;0;2;12;14;9;5;9;15;11;4;53.4
J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ;74;43;34;25;19;4;16;12;14;41;27;14;12;8;2;1;9;13;13;4;5;12;7;31;58.04
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - N. KUSTURICA;35;25;16;10;11;4;5;3;8;11;6;5;2;7;0;0;7;7;7;1;8;9;6;10;26.200000000000003
J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ;86;58;36;24;34;9;17;11;21;48;26;22;9;8;5;0;11;15;14;7;9;19;10;28;64.48
B. MANEL - E. DESTOM ALGER - N. KUSTURICA;2;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1.0
B. MANEL - J. MARTIN LOPEZ - N. KUSTURICA;24;25;14;9;7;1;5;3;9;13;8;5;3;1;2;0;4;6;7;3;2;6;4;-1;21.200000000000003
E. DESTOM ALGER - N. KUSTURICA - O. FILBA GONZALEZ;8;2;3;2;3;1;2;1;2;5;3;2;0;1;0;0;2;1;1;0;0;2;1;6;4.88
J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ;46;31;22;16;15;3;10;5;13;24;15;9;3;5;2;0;11;6;8;4;3;11;6;15;35.400000000000006
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - N. KUSTURICA;75;63;29;21;30;8;16;9;16;39;20;19;11;7;2;0;13;16;20;4;11;14;10;12;58.04
J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - P. CRUZ URBANEJA;34;24;16;12;5;1;10;7;6;14;10;4;2;4;2;0;2;7;8;2;2;3;3;10;23.4
J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA;39;28;17;13;6;1;13;10;7;16;12;4;3;4;2;0;2;9;10;2;2;4;3;11;27.72
